file	name	hit_count	decision
backend/app/services/agent/candidate_store.py	_PRESENTATION_LOCK	2	keep
backend/app/services/agent/candidate_store.py	_LOGGER	31	keep
backend/app/services/agent/candidate_store.py	_RedisKeyMissing	5	keep
backend/app/services/agent/candidate_store.py	_REDIS_KEY_MISSING	2	keep
backend/app/services/agent/candidate_store.py	_key	40	keep
backend/app/services/agent/candidate_store.py	_optional_text	5	keep
backend/app/services/agent/candidate_store.py	_candidate_set_evidence	2	keep
backend/app/services/agent/candidate_store.py	_candidate_set_coverage	2	keep
backend/app/services/agent/candidate_store.py	_candidate_set_constraints	2	keep
backend/app/services/agent/candidate_store.py	_service_conditions	2	keep
backend/app/services/agent/candidate_store.py	_timing_metrics	2	keep
backend/app/services/agent/candidate_store.py	_comparison_option	2	keep
backend/app/services/agent/candidate_store.py	_official_alert_comparison	2	keep
backend/app/services/agent/candidate_store.py	_finite_metric	2	keep
backend/app/services/agent/candidate_store.py	_mark_presented_memory	2	keep
backend/app/services/agent/candidate_store.py	_admit_watched_record	3	keep
backend/app/services/agent/candidate_store.py	_attempt_watched_presentation	2	keep
backend/app/services/agent/candidate_store.py	_mark_presented_redis	2	keep
backend/app/services/agent/candidate_store.py	_reserve_record	3	keep
backend/app/services/agent/candidate_store.py	_queue_reserved_record	2	keep
backend/app/services/agent/candidate_store.py	_cache_reserved_record	2	keep
backend/app/services/agent/candidate_store.py	_decode_record	2	keep
backend/app/services/agent/discovery_store.py	_PLACE_ID_PREFIX	2	keep
backend/app/services/agent/discovery_store.py	_ALLOWED_RANKING_FACTORS	2	keep
backend/app/services/agent/discovery_store.py	_QUEUE_CONTEXT_MODES	2	keep
backend/app/services/agent/discovery_store.py	_DEFAULT_QUEUE_CONTEXT	2	keep
backend/app/services/agent/discovery_store.py	_CONTINUATION_TOKEN_RE	2	keep
backend/app/services/agent/discovery_store.py	_PLACES_PRICE_LEVELS	2	keep
backend/app/services/agent/discovery_store.py	_is_finite_number	5	keep
backend/app/services/agent/discovery_store.py	_finite_price	5	keep
backend/app/services/agent/discovery_store.py	_finite_optional	5	keep
backend/app/services/agent/discovery_store.py	_OMIT	3	keep
backend/app/services/agent/discovery_store.py	_finite_number_or_none	5	keep
backend/app/services/agent/discovery_store.py	_sanitized_option	2	keep
backend/app/services/agent/discovery_store.py	_waypoint_label	2	keep
backend/app/services/agent/discovery_store.py	_identity_key	9	keep
backend/app/services/agent/discovery_store.py	_key	40	keep
backend/app/services/agent/discovery_store.py	_normalized_place	2	keep
backend/app/services/agent/discovery_store.py	_place_identity	4	keep
backend/app/services/agent/discovery_store.py	_bounded_count	2	keep
backend/app/services/agent/discovery_store.py	_sanitized_coverage	2	keep
backend/app/services/agent/discovery_store.py	_coverage_labels	3	keep
backend/app/services/agent/discovery_store.py	_bounded_scope_values	4	keep
backend/app/services/agent/discovery_store.py	_borough_scope	2	keep
backend/app/services/agent/discovery_store.py	_named_area_scope	2	keep
backend/app/services/agent/discovery_store.py	_named_near_scope	2	keep
backend/app/services/agent/discovery_store.py	_sanitized_search_scope	3	keep
backend/app/services/agent/discovery_store.py	_normalized_name	25	keep
backend/app/services/agent/discovery_store.py	_place_by_id	2	keep
backend/app/services/agent/discovery_store.py	_place_by_ordinal	2	keep
backend/app/services/agent/discovery_store.py	_presented_context_rows	2	keep
backend/app/services/agent/discovery_store.py	_record_context	2	keep
backend/app/services/agent/events.py	_TURN_ID_REQUIRED	2	keep
backend/app/services/agent/events.py	_UNTRUSTED_SOURCE	2	keep
backend/app/services/agent/events.py	_SOURCE_COUNT_REQUIRED	2	keep
backend/app/services/agent/events.py	_trusted_https_url	2	keep
backend/app/services/agent/loop.py	_SUPPORTED_BINOPS	2	keep
backend/app/services/agent/loop.py	_SUPPORTED_UNARY	3	keep
backend/app/services/agent/loop.py	_eval_bounded_binop	2	keep
backend/app/services/agent/loop.py	_eval_math_node	5	keep
backend/app/services/agent/loop.py	_rider_excluded_modes	2	keep
backend/app/services/agent/loop.py	_rider_excluded_route_ids	2	keep
backend/app/services/agent/loop.py	_run_one_tool	4	keep
backend/app/services/agent/loop.py	_execute_tool_round	2	keep
backend/app/services/agent/loop.py	_system_blocks	2	keep
backend/app/services/agent/loop.py	_messages_from_history	3	keep
backend/app/services/agent/loop.py	_build_stream_kwargs	5	keep
backend/app/services/agent/loop.py	_web_search_tool	3	keep
backend/app/services/agent/loop.py	_tools_for_state	26	keep
backend/app/services/agent/loop.py	_INTERNAL_CARD_REFERENCE	2	keep
backend/app/services/agent/loop.py	_OPAQUE_CARD_ID	2	keep
backend/app/services/agent/loop.py	_OPAQUE_CANDIDATE_ID	2	keep
backend/app/services/agent/loop.py	_OPAQUE_PLACE_ID	2	keep
backend/app/services/agent/loop.py	_INTERNAL_RUNTIME_LINE	2	keep
backend/app/services/agent/loop.py	_FAKE_WAIT_SENTENCE	2	keep
backend/app/services/agent/loop.py	_sanitize_rider_text	5	keep
backend/app/services/agent/loop.py	_turn_dependencies	2	keep
backend/app/services/agent/loop.py	_rejection_events	3	keep
backend/app/services/agent/loop.py	_admission_rejection	2	keep
backend/app/services/agent/loop.py	_arithmetic_shortcut_events	2	keep
backend/app/services/agent/loop.py	_live_turn_events	2	keep
backend/app/services/agent/model/budget.py	_semaphore	5	keep
backend/app/services/agent/model/budget.py	_semaphore_limit	4	keep
backend/app/services/agent/model/budget.py	_current_minute_bucket	2	keep
backend/app/services/agent/model/budget.py	_incr_counter	2	keep
backend/app/services/agent/model/budget.py	_today_key	2	keep
backend/app/services/agent/model/budget.py	_spend_cache_key	3	keep
backend/app/services/agent/model/mock_turn.py	_mock_step_delay_s	2	keep
backend/app/services/agent/model/mock_turn.py	_mock_token_chunks	2	keep
backend/app/services/agent/model/output_projection.py	_PLACE_ID_FIELDS	2	keep
backend/app/services/agent/model/output_projection.py	_PLACE_ID_LIST_FIELDS	2	keep
backend/app/services/agent/model/output_projection.py	_PROVIDER_ID_FIELDS	2	keep
backend/app/services/agent/model/output_projection.py	_PRESENTER_RECEIPT_FIELDS	2	keep
backend/app/services/agent/model/output_projection.py	_project_mapping	2	keep
backend/app/services/agent/model/output_projection.py	_projected_place_ids	2	keep
backend/app/services/agent/model/output_projection.py	_restore_row_place_id	2	keep
